id,source_id,damage_gra,damage_class,damage_percent,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,source_confidence,source_provider,centroid_lat,centroid_lon,google_maps_url
msft_catia_03558,15074,Damaged,external-predicted-damaged,57.6,0.576227,0.421921,0.349049,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59218180400936,-67.01716540681903,"https://www.google.com/maps/search/?api=1&query=10.59218180400936,-67.01716540681903"
msft_catia_03559,15078,Damaged,external-predicted-damaged,11.0,0.109966,0.090739,0.038765,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592422963929932,-67.01730856659569,"https://www.google.com/maps/search/?api=1&query=10.592422963929932,-67.01730856659569"
msft_catia_03560,15079,Damaged,external-predicted-damaged,86.2,0.861789,0.48667,0.364192,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59204134416403,-67.01692760737657,"https://www.google.com/maps/search/?api=1&query=10.59204134416403,-67.01692760737657"
msft_catia_03561,15086,Damaged,external-predicted-damaged,100.0,1.0,0.798698,0.609609,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592301264153798,-67.0169745274331,"https://www.google.com/maps/search/?api=1&query=10.592301264153798,-67.0169745274331"
msft_catia_03562,15087,Damaged,external-predicted-damaged,85.9,0.859375,0.622523,0.543485,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592339984134043,-67.01700748736963,"https://www.google.com/maps/search/?api=1&query=10.592339984134043,-67.01700748736963"
msft_catia_03563,15088,Damaged,external-predicted-damaged,95.4,0.953608,0.605841,0.405248,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592358587083073,-67.01687891916745,"https://www.google.com/maps/search/?api=1&query=10.592358587083073,-67.01687891916745"
msft_catia_03564,15089,Damaged,external-predicted-damaged,18.2,0.050814,0.182473,0.134943,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592429593806242,-67.01748560861033,"https://www.google.com/maps/search/?api=1&query=10.592429593806242,-67.01748560861033"
msft_catia_03565,15090,Damaged,external-predicted-damaged,9.7,0.02447,0.065824,0.097105,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592442403982105,-67.01723666680866,"https://www.google.com/maps/search/?api=1&query=10.592442403982105,-67.01723666680866"
msft_catia_03566,15092,Damaged,external-predicted-damaged,9.0,0.065789,0.089852,0.031383,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592543583922376,-67.01733434661081,"https://www.google.com/maps/search/?api=1&query=10.592543583922376,-67.01733434661081"
msft_catia_03567,15099,Damaged,external-predicted-damaged,56.4,0.564433,0.51521,0.406904,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59236494418996,-67.01693094759942,"https://www.google.com/maps/search/?api=1&query=10.59236494418996,-67.01693094759942"
msft_catia_03568,15100,Damaged,external-predicted-damaged,92.4,0.92449,0.455531,0.280376,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592416664248493,-67.0168540078495,"https://www.google.com/maps/search/?api=1&query=10.592416664248493,-67.0168540078495"
msft_catia_03569,15101,Damaged,external-predicted-damaged,100.0,1.0,0.775782,0.397254,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592412344212633,-67.0169045477065,"https://www.google.com/maps/search/?api=1&query=10.592412344212633,-67.0169045477065"
msft_catia_03570,15102,Damaged,external-predicted-damaged,87.1,0.870968,0.43294,0.282905,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592457044280668,-67.01681320799142,"https://www.google.com/maps/search/?api=1&query=10.592457044280668,-67.01681320799142"
msft_catia_03571,15103,Damaged,external-predicted-damaged,62.2,0.621818,0.395924,0.242524,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59251048425843,-67.01685152792366,"https://www.google.com/maps/search/?api=1&query=10.59251048425843,-67.01685152792366"
msft_catia_03572,15114,Damaged,external-predicted-damaged,84.3,0.843058,0.385068,0.341944,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592886063743096,-67.01763238603132,"https://www.google.com/maps/search/?api=1&query=10.592886063743096,-67.01763238603132"
msft_catia_03573,15119,Damaged,external-predicted-damaged,59.9,0.599432,0.254375,0.277418,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592756943643844,-67.01775772559174,"https://www.google.com/maps/search/?api=1&query=10.592756943643844,-67.01775772559174"
msft_catia_03574,15121,Damaged,external-predicted-damaged,93.8,0.9375,0.492661,0.368796,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592835203598801,-67.01783164544321,"https://www.google.com/maps/search/?api=1&query=10.592835203598801,-67.01783164544321"
msft_catia_03575,15123,Damaged,external-predicted-damaged,100.0,1.0,0.865181,0.636986,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592962043623666,-67.01781200558852,"https://www.google.com/maps/search/?api=1&query=10.592962043623666,-67.01781200558852"
msft_catia_03576,15124,Damaged,external-predicted-damaged,60.6,0.33195,0.605901,0.598229,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59300510356359,-67.0179029653676,"https://www.google.com/maps/search/?api=1&query=10.59300510356359,-67.0179029653676"
msft_catia_03577,15125,Damaged,external-predicted-damaged,100.0,1.0,0.967291,0.638664,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59299086366696,-67.01775390577004,"https://www.google.com/maps/search/?api=1&query=10.59299086366696,-67.01775390577004"
msft_catia_03578,15127,Damaged,external-predicted-damaged,100.0,1.0,0.804139,0.769781,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.593031563607042,-67.01784434554885,"https://www.google.com/maps/search/?api=1&query=10.593031563607042,-67.01784434554885"
